wav_filename,wav_filesize,transcript
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790938.wav,230,Uhurishaji wa watumwa ulikuwa usaidiwe kwa kuwaingiza katika Ukristo na ustaarabu wa Magharibi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790939.wav,159,Alizaliwa mwaka elfu moja nia tisa sabini na sita
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790940.wav,191,magofu ya kilwa yalikuwa yakitumika kwenye shughuli za utawala wa kisultani
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790941.wav,144,hifadhi ya serengeti nchini kenya inaitwa masai mara
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790970.wav,271,Kiutawala Jiji limegawanyika katika Halmashauri sita za Serikali za mitaa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790978.wav,196,Ni rahisi sana kwa ngozi kupata magonjwa ya ngozi ikiwemo chunusi sugu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790980.wav,153,dube aliigonga gari aina ya mercedes benz
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790981.wav,151,Ufugaji nao ni shughuli muhimu kama ilivyo uvuvi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790998.wav,232,Karume aliongoza nchi baada ya mapinduzi yaliyomwangusha Sultani aliyekuwa akitawala Zanzibar
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791000.wav,163,Ni umbali wa mwendo wa masaa matano hadi sita kutoka mji wa Arusha
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791002.wav,157,Wakati wa kiangazi cha mwaka wa elfu moja mia nane tisini na moja
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791004.wav,148,Aliapishwa Machi kumi na tisa mwaka elfu mbili na ishirini
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791028.wav,230,Alikuwa Nicholas Eden mwanasiasa shoga na mwana wa Waziri Mkuu marehemu Anthony Eden
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791031.wav,150,Idi Amin alikuwa mwana wa Andreas Nyabire
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791036.wav,144,Mo ndiye tajiri namba moja Afrika Mashariki
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791067.wav,271,Huyu alikuwa ni mfuasi wa Nkrumah na moja kati ya sababu zilizopelekea afanye Mapinduzi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791069.wav,203,Kwa ufupi kabila hili limebeba mchanganyiko wa watu wenye asili mbalimbali
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791070.wav,138,rais mwinyi alikuwa raisi wa zanzibar
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791073.wav,251,Kirusi cha Corona kilichogundulika hivi karibuni kinasababisha ugonjwa unaofahamika kama Uviko
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791086.wav,173,Alikuwa bega kwa bega na rais wa baadae wa taifa hilo mzee Jomo Kenyatta
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791094.wav,134,Bado kuna unyevu lakini mvua huwa zimepunguwa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791096.wav,119,Kati ya mwezi wa kumi na ule mwezi wa kwanza
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791118.wav,211,Chanzo kikubwa cha uchumi wa mataifa haya kukua kwa kasi kubwa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791119.wav,214,Bendera ya Usultani wa Zanzibar Kugawiwa kwa Omani kulikuwa mwanzo wa Zanzibar
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791137.wav,145,Binadamu wa kwanza kuishi huko huaminiwa kuwa wawindaji
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791146.wav,156,Pep alimtetemesha mikono Sir Alex Ferguson
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791151.wav,237,Yanapotokea humfanya muathirika kuwa na aibu kuelezea kwenda hospitali ili kupata tiba
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791170.wav,176,Kushika msimamo katika Kanisa Kwa ajili hiyo aliomba viongozi wa serikali
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791173.wav,211,wakati huo waliita opareaheni Cyclone wakamwaga msaada
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791174.wav,243,Mheshimiwa Rais Samia ameendeleza mahusiano ya kidiplomasia kati ya Tanzania na nchi jirani
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791175.wav,144,watoto wadogo wanamtumia sana blob kwenye michezo yao
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791176.wav,197,mkapa aliendelea kuwa mshauri wa serikali hadi umauti ulipompata
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791192.wav,156,macho yake makubwa na shingo yake ndefu humsaidia kuona adui
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791195.wav,128,Mlipuko wa mwisho ulitokea mwishoni mwa mwaka jana
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791196.wav,180,Ndio maana hata leo wapare wana uchumi mzuri katika viwango vya Tanzania
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791203.wav,226,Wareno na Wahispania waliunda utawala wao kule Amerika Kusini karne ya kumi na sita
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791204.wav,197,Kulikuwa na sababu nyingine muhimu zaidi za kuharibiwa kwa msitu huo
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791205.wav,171,Katika kabila la wakurya kuna mafunzo ambayo hutolewa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791206.wav,211,Vina umuhimu mkubwa kwa mtu mwenye kisukari aina ya kwanza
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791213.wav,219,Wakitumia jina jipya la Simba iliwachukua miaka miwili kujipanga kurudisha makali yao
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791217.wav,168,Waitaliano hawafungiki kirahisi kama timu zingine
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791221.wav,157,Tatu magonjwa ya valvu za moyo
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791228.wav,197,amani makundi makubwa ya ndege vipepeo na miti ambayo hupatikana amani pekee
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791234.wav,151,Shughuli makazi mbalimbali kuanzia misitu ya riverine
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791237.wav,127,Chumvi katika ziwa pia na chemchemi ya maji
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791244.wav,194,Wafuasi wa Neymar milioni mia mbili themanini na mbili katika mitandao ya kijamii
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791246.wav,151,taarifa zozote zinazomhusu Bibi Titi Mohamed Kwa muda
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791247.wav,171,Waingereza wakati wa kipindi hicho waliamua kuanzisha maeneo mawili tofauti
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791248.wav,214,wanyama wengine wanaopatikana gombe ni kima wenye mkia mwekundu na bluu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791252.wav,133,Kwa ujumla kuna lahaja zipatazo nne
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791255.wav,151,Wanawake hula nyama kama njia ya kutoa shukurani
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791256.wav,145,Vikwazo vingi vya upigaji kura vilikuwepo
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791262.wav,182,Kupeana watoto kunafanyika makusudi kuepusha fadhaa na adha ya ugumba
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791264.wav,191,Wajerumani wakaifanya Bagamoyo kuwa makao yao makuu ya utawala katika Afrika
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791267.wav,134,Vikundi hivi vina jumla ya mizinga tisini na tisa elfu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791268.wav,159,Yote haya yalikuwa baruti tosha kuweza kulipuka na kumdhuru Karume
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791280.wav,182,Hii ni kwa njia ya barabara magharibi ya mji wa Arusha
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791294.wav,153,tanzania ilihitaji wasimamizi bora wa mali ghafi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791297.wav,157,Barabara ni chanzo cha maendeleo zikijengwa kwa lami
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791307.wav,134,Katika upande wa elimu Tanzania haiko nyuma sana
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791309.wav,150,Atajenga na kuanzisha familia yake
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791326.wav,245,Wageni wanatoka sehemu mablimbali duniani na kuja kuangalia madini ya aina hii
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791328.wav,163,sokoine alisema ninaanza kuwashughulikia mawaziri wangu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791332.wav,136,Bila kusahau wilaya za Handeni na Korogwe
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791333.wav,199,Litakuwa jambo lenye afya zaidi ikiwa itaanzishwa mamlaka au bodi moja
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791346.wav,190,Wakati bibi inapofika yeye anapokea mtoto kuwaonyesha watoto
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791347.wav,171,Je mtakuwa na mpishi wenu au mtajibebea vyakula vyenu wenyewe
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791348.wav,222,Jambo hili linawasumbua wale wanaojua historia yake ni taarifa za kutupwa kwa watoto
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791364.wav,179,nilimaliza shughuli za nyumbani nikaanza safari ya kwenda shuleni
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791365.wav,167,Hakuna sababu rasmi iliyotolewa kuhusu kuahirishwa kwa kura hiyo
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791367.wav,145,alimuunga mkono Nyerere katika kupigania uhuru
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791380.wav,130,Aliandika vitabu vingi na kutunga nyimbo kadhaa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791383.wav,142,victoria lilikuwa jina la malikia wa uingereza
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791390.wav,222,Museveni alipata kibali cha bunge kwa badiliko la katiba lililomruhusu kugombea urais tena
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791391.wav,121,Karume alitangaza utawala wa chama kimoja tu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791392.wav,165,Maisha yaliyosababishwa na ukosefu wa huduma hizo za msingi nchini humo
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791404.wav,176,Lengo kuu la Karume lilikuwa ni kuzivunja nguvu harakati za Umma Party
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791406.wav,228,Watu wenye paka walioambukizwa tauni Watu wanaopaswa kutafuta huduma ya matibabu haraka
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791407.wav,134,kwenye Serikali na kuwafanya kuwa kundi la wapiganaji
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791418.wav,202,Marekani suala hilo lilisababisha farakano la majimbo ya kusini na vita vya wenyewe
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791419.wav,190,Nadharia hizo huonyesha kuwa huenda hata hawana asili ya uchaga wala upare
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791420.wav,236,Linalotokana na neno la kimasai Siringiti lenye maana ya uwazi usio na mwisho
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791421.wav,153,Wafuasi wa Obote ndani ya jeshi la Uganda ambao walikuwa wengi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791428.wav,163,Pia lipo ziwa Turkana kaskazini mwa nchi ya Kenya
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791431.wav,180,Na baada ya kurudi uraiani alikuwa mmoja wa waanzilishi wa vuguvugu la kamahuru
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791443.wav,184,Karume alishinikiza kwa Nyerere wapewe kazi Tanzania Bara aweze kupumua
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791454.wav,182,Jumla ya vijiji themanini na sita vilikuwa vimeanzisha misitu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791469.wav,156,unadhani utapata sehemu nzuri kama kwamba duniani ulimsahau
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791472.wav,207,ikiwa ni pamoja na kutunza familia zao na kujiendeleza kiuchumi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791474.wav,194,Majaribio ya ujarabati yanayofanana na hayo hufanywa katika somo la uchumi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791487.wav,176,Akitaka kuwasaidia Wajapani ingawa Japan haikushambulia Urusi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791488.wav,139,kadhaa wa kijeshi walikamatwa na kushtakiwa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791489.wav,153,Shughuli kuu za kiuchumi katika Halmashauri ya Wilaya ya Bagamoyo
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791492.wav,138,Umaridadi wake umekuwa mzuri kila siku iitwayo Leo
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791502.wav,199,Siku ukibahatika kukutana nao barabarani wanatukana matusi makubwamakubwa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791507.wav,171,mourinho akipata mafanikio kwenye timu anaondoka
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791510.wav,168,Alijiondoa kwa kiasi kikubwa katika maisha ya umma
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791527.wav,202,Mwaka huohuo Luther aliitwa mbele ya Bunge la Ujerumani ili ajitetee
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791552.wav,209,kifua kikuu cha mapafu pia hutokea katika mfumo wa mkojo na sehemu za siri
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791553.wav,167,Wanawake wa kimasai huuza shanga na urembo wao waliotengeneza
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791555.wav,167,huyu ndiye mpigania Uhuru wa tanzania na nchi nyingi za africa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791556.wav,153,Na sasa tuangalie ukubwa na upana wa Taifa la Tanzania
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791567.wav,171,Pia halmashauri ya wilaya ya Rufiji na halmashauri ya wilaya ya Mkuranga
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791568.wav,150,mwalimu nyerere na wenzake wanastahili pongezi kubwa sana
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791569.wav,188,kilomita za mraba mia nne hamsini ni eneo la maji ya bahari
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791570.wav,167,Ipo pia bandari ya Abidjan nchini Ivory Coast
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791571.wav,213,Rais George Bush alieleza kushtushwa na tukio hilo na akaahidi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791577.wav,190,Lilifaulu kutetea eneo la ukoloni wake dhidi ya mashambulio ya kwanza ya Waingereza
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791580.wav,157,Msalaba ulitawala bendera hiyo na pia ulikuwa na mraba mwekundu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791583.wav,209,Mwalimu Julius Nyerere alisisitiza Kenya ni nchi inayoendelea mbele tu kama Tanzania
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791585.wav,150,Inasemekana mlima kilimanjaro unapungua polepole
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791597.wav,263,Njama na hila kikundi kidogo cha watu kingali kinakana uwep wa virusi vya Ukimwi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791599.wav,203,Wahalifu wameshajua kwamba ukifanya tukio fulani kwa namna fulani huwezi kukamatwa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791601.wav,182,Taifa ambalo Fidel Castro aliita lililoendelea zaidi duniani
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791619.wav,128,Kamati hii ni pamoja na Gavana wa Benki
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791622.wav,168,Waingereza walikusanya jeshi kubwa kutoka Afrika Kusini
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791624.wav,150,Jiji la Tanga ndio Makao Makuu ya Mkoa wa Tanga
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791626.wav,199,chanzo cha mto rufiji Kipo mto kilombero na mto luwegu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791643.wav,179,Kwenye eneo la Somalia ikakodishwa kwa wakoloni wa Italia
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791644.wav,243,Ndipo wafuate wa kaka wao wakiwaita iwana kwa mujibu wa kikaguru
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791646.wav,176,Alihamasisha harakati za ukombozi pamoja na kuunganisha bara la Afrika
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791663.wav,168,Katika Afrika wakati huo wa kuvamiwa hadi kukombolewa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791665.wav,213,Hadi mwaka wa elfu moja mia tatu thelathini na tano
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791668.wav,197,Kupungua kwa kilimo kulisababishwa na sera za kilimo zisizofaa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791681.wav,144,Wakulima wengi nchini tanzania wanapenda ufugaji
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791683.wav,228,Wafanyabiashara kama Tippu Tip waliokuwa raia wa Usultani wakapita Tabora na Ujiji
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791684.wav,148,ronaldo atatamani kwenda china kabla ya kustaafu
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29791703.wav,266,Mauji ya albino ni jambo ambalo halina taarifa za kina hata kwa wasukuma wenyewe
